연도,팀,경기,승,패,득점,실점
1993,삼성,126,73,48,613,433
1993,해태,126,81,42,513,420
1993,OB,126,66,55,473,405
1993,LG,126,66,57,496,440
1993,롯데,126,62,63,452,462
1993,빙그레,126,61,61,454,491
1993,태평양,126,34,82,342,516
1993,쌍방울,126,43,78,366,551
1992,빙그레,126,81,43,658,520
1992,해태,126,71,54,701,571
1992,롯데,126,71,55,663,581
1992,삼성,126,67,57,633,636
1992,OB,126,56,66,547,582
1992,LG,126,53,70,572,616
1992,태평양,126,56,67,518,609
1992,쌍방울,126,41,84,508,686
1991,해태,126,79,42,618,409
1991,빙그레,126,72,49,644,493
1991,삼성,126,70,55,639,579
1991,롯데,126,61,59,583,527
1991,쌍방울,126,52,71,554,638
1991,OB,126,51,73,501,603
1991,LG,126,53,72,472,607
1991,태평양,126,55,72,426,590
1990,빙그레,126,68,50,610,481
1990,LG,126,71,49,578,457
1990,해태,126,68,49,538,458
1990,삼성,126,66,52,593,558
1990,태평양,126,58,60,485,524
1990,롯데,126,44,69,453,572
1990,OB,126,35,80,404,616
1989,빙그레,120,71,46,595,464
1989,해태,120,65,51,500,442
1989,태평양,120,62,54,477,440
1989,삼성,120,57,58,580,588
1989,OB,120,54,63,447,481
1989,MBC,120,49,67,490,581
1989,롯데,120,48,67,419,522
1988,해태,108,68,38,503,364
1988,빙그레,108,62,45,506,441
1988,롯데,108,57,49,482,443
1988,삼성,108,56,50,516,492
1988,OB,108,54,52,418,447
1988,MBC,108,40,64,408,491
1988,태평양,108,34,73,387,544
1987,삼성,108,64,44,583,427
1987,롯데,108,54,49,432,404
1987,OB,108,55,52,415,405
1987,해태,108,55,48,393,401
1987,MBC,108,50,51,388,407
1987,빙그레,108,47,57,410,454
1987,청보,108,41,65,401,524
1986,삼성,108,70,37,475,369
1986,해태,108,67,37,474,372
1986,MBC,108,59,41,434,361
1986,OB,108,56,48,369,341
1986,롯데,108,50,52,373,360
1986,빙그레,108,31,76,333,467
1986,청보,108,32,74,318,506
1985,삼성,110,77,32,552,379
1985,OB,110,51,57,473,416
1985,해태,110,57,52,483,465
1985,롯데,110,59,51,426,420
1985,MBC,110,44,65,345,408
1985,삼미/청보,110,39,70,416,607
1984,OB,100,58,41,382,298
1984,삼성,100,55,45,435,379
1984,롯데,100,50,48,405,390
1984,MBC,100,51,48,375,374
1984,해태,100,43,54,369,398
1984,삼미,100,38,59,334,461
1983,MBC,100,55,43,405,335
1983,해태,100,55,44,423,390
1983,삼성,100,46,50,448,418
1983,OB,100,44,55,418,432
1983,삼미,100,52,47,345,372
1983,롯데,100,43,56,370,464
1982,삼성,80,53,26,429,257
1982,OB,80,56,24,399,318
1982,MBC,80,46,33,419,350
1982,해태,80,38,42,374,388
1982,롯데,80,33,48,353,385
1982,삼미,80,15,65,302,574
